title,summary,date,url
J&K Cloudburst: Explosives Used To Blast Giant Boulders To Speed Up Rescue Efforts,Army has also deployed additional troops to intensify the efforts (File),2025-08-16,https://www.ndtv.com/india-news/j-k-cloudburst-explosives-used-to-blast-giant-boulders-to-speed-up-rescue-efforts-9098207#publisher=newsstand
At Least 320 Killed In Pakistan Due To Monsoon In Last 48 Hours,Locals remove mud to recover vehicles from debris after flash floods in Swat Valley.,2025-08-16,https://www.ndtv.com/world-news/at-least-320-killed-in-pakistan-due-to-monsoon-in-last-48-hours-9098163#publisher=newsstand
"Hours After Alaska Meet, Russia Fired 85 Drones, 1 Missile On Ukraine: Kyiv",Russia launched 85 attack drones and a ballistic missile at Ukraine overnight,2025-08-16,https://www.ndtv.com/world-news/hours-after-alaska-meet-russia-fired-85-drones-1-missile-on-ukraine-kyiv-9098164#publisher=newsstand
"Ukrainians See ""Nothing"" Good From Trump-Putin Meeting","Zelensky, who was not invited, described the trip as Putin's ""personal victory"". (File)",2025-08-16,https://www.ndtv.com/world-news/ukrainians-see-nothing-good-from-trump-putin-meeting-9098141#publisher=newsstand
"Alaska Meet Live Updates: After Putin Meeting, Ukraine's Zelensky To Meet Trump In Washington On Monday",Putin Trump Alaska Summit LIVE: Neither leader announced that a second meeting would be held,2025-08-16,https://www.ndtv.com/world-news/trump-putin-alaska-meet-live-updates-ukraine-war-us-russia-anchorage-9093672#publisher=newsstand
"""Trump Didn't Lose, Putin Clearly Won"": Ex-US NSA John Bolton On Alaska Summit","John Bolton said that Russian President Vladimir Putin ""clearly won"" at the Alaska Summit",2025-08-16,https://www.ndtv.com/world-news/donald-trump-didnt-lose-vladimir-putin-clearly-won-ex-us-nsa-john-bolton-on-alaska-summit-9098102#publisher=newsstand
IndiGo Aircraft's Tail Hits Runway During Go-Around At Mumbai Airport,Indigo said the aircraft will go through necessary checks (Representational),2025-08-16,https://www.ndtv.com/india-news/indigo-aircrafts-tail-hits-runway-during-landing-at-mumbai-airport-9097995#publisher=newsstand
"""Told Trump Russia Sanctions Should Be Strengthened Unless..."": Zelensky",Zelensky's meeting comes after Trump met Putin in Alaska today.,2025-08-16,https://www.ndtv.com/world-news/told-trump-russia-sanctions-should-be-strengthened-unless-zelensky-9096892#publisher=newsstand
"Amid Telangana Congress Infighting, MLA Speaks Of ""Chief Minister's Approval""",The MLA has been speaking out against the state leadership of the party recently.,2025-08-16,https://www.ndtv.com/india-news/komatireddy-rajagopal-reddy-revanth-reddy-munugode-mla-amid-telangana-congress-infighting-mla-speaks-of-chief-ministers-approval-9097831#publisher=newsstand
"Daman Man Kills His 2 Specially-Abled Children, Hangs Self After Wife Leaves Him: Cops","Further investigation is underway, say officials. (Representational)",2025-08-16,https://www.ndtv.com/india-news/daman-man-kills-his-2-specially-abled-children-hangs-self-after-wife-leaves-him-cops-9097832#publisher=newsstand
"Trump-Putin Meet Over, European Leaders To Keep Sanctions Pressure On Russia",European leaders had been uneasy over Trump's diplomatic outreach to Putin,2025-08-16,https://www.ndtv.com/world-news/european-leaders-vow-to-strengthen-sanctions-on-russia-after-trump-putin-summit-9097651#publisher=newsstand
Mumbai Dahi Handi Govinda Team Sets 10-Tier Human Pyramid Record,The Dahi Handi festivities in Maharashtra witnessed a historic moment as Jogeshwari's Konkan Nagar Govinda Pathak set a world record by forming a 10-tier human pyramid.,2025-08-16,https://www.ndtv.com/mumbai-news/janmashtami-2025-mumbai-dahi-handi-govinda-team-sets-10-tier-human-pyramid-record-9097407#publisher=newsstand
